[0/200] [1 steps] [state (13, 38)] [goal (105, 178)] [h_dist 232]
[0/200] [2 steps] [state (13, 38)] [goal (105, 178)] [h_dist 232]
[0/200] [3 steps] [state (13, 37)] [goal (105, 178)] [h_dist 233]
[0/200] [4 steps] [state (14, 37)] [goal (105, 178)] [h_dist 232]
[0/200] [5 steps] [state (14, 36)] [goal (105, 178)] [h_dist 233]
[0/200] [6 steps] [state (14, 35)] [goal (105, 178)] [h_dist 234]
[0/200] [7 steps] [state (14, 36)] [goal (105, 178)] [h_dist 233]
[0/200] [8 steps] [state (14, 35)] [goal (105, 178)] [h_dist 234]
[0/200] [9 steps] [state (14, 36)] [goal (105, 178)] [h_dist 233]
[0/200] [10 steps] [state (14, 35)] [goal (105, 178)] [h_dist 234]
[0/200] [11 steps] [state (15, 35)] [goal (105, 178)] [h_dist 233]
[0/200] [12 steps] [state (15, 36)] [goal (105, 178)] [h_dist 232]
[0/200] [13 steps] [state (16, 36)] [goal (105, 178)] [h_dist 231]
[0/200] [14 steps] [state (16, 35)] [goal (105, 178)] [h_dist 232]
[0/200] [15 steps] [state (15, 35)] [goal (105, 178)] [h_dist 233]
[0/200] [16 steps] [state (14, 35)] [goal (105, 178)] [h_dist 234]
[0/200] [17 steps] [state (15, 35)] [goal (105, 178)] [h_dist 233]
[0/200] [18 steps] [state (15, 36)] [goal (105, 178)] [h_dist 232]
[0/200] [19 steps] [state (16, 36)] [goal (105, 178)] [h_dist 231]
[0/200] [20 steps] [state (16, 37)] [goal (105, 178)] [h_dist 230]
[0/200] [21 steps] [state (16, 36)] [goal (105, 178)] [h_dist 231]
[0/200] [22 steps] [state (16, 37)] [goal (105, 178)] [h_dist 230]
[0/200] [23 steps] [state (17, 37)] [goal (105, 178)] [h_dist 229]
[0/200] [24 steps] [state (17, 38)] [goal (105, 178)] [h_dist 228]
[0/200] [25 steps] [state (17, 37)] [goal (105, 178)] [h_dist 229]
[0/200] [26 steps] [state (17, 38)] [goal (105, 178)] [h_dist 228]
[0/200] [27 steps] [state (18, 38)] [goal (105, 178)] [h_dist 227]
[0/200] [28 steps] [state (19, 38)] [goal (105, 178)] [h_dist 226]
[0/200] [29 steps] [state (19, 37)] [goal (105, 178)] [h_dist 227]
[0/200] [30 steps] [state (19, 36)] [goal (105, 178)] [h_dist 228]
[0/200] [31 steps] [state (19, 35)] [goal (105, 178)] [h_dist 229]
[0/200] [32 steps] [state (18, 35)] [goal (105, 178)] [h_dist 230]
[0/200] [33 steps] [state (19, 35)] [goal (105, 178)] [h_dist 229]
[0/200] [34 steps] [state (20, 35)] [goal (105, 178)] [h_dist 228]
[0/200] [35 steps] [state (19, 35)] [goal (105, 178)] [h_dist 229]
[0/200] [36 steps] [state (19, 34)] [goal (105, 178)] [h_dist 230]
[0/200] [37 steps] [state (18, 34)] [goal (105, 178)] [h_dist 231]
[0/200] [38 steps] [state (18, 35)] [goal (105, 178)] [h_dist 230]
[0/200] [39 steps] [state (18, 34)] [goal (105, 178)] [h_dist 231]
[0/200] [40 steps] [state (19, 34)] [goal (105, 178)] [h_dist 230]
[0/200] [41 steps] [state (19, 33)] [goal (105, 178)] [h_dist 231]
[0/200] [42 steps] [state (18, 33)] [goal (105, 178)] [h_dist 232]
[0/200] [43 steps] [state (18, 32)] [goal (105, 178)] [h_dist 233]
[0/200] [44 steps] [state (18, 33)] [goal (105, 178)] [h_dist 232]
[0/200] [45 steps] [state (18, 34)] [goal (105, 178)] [h_dist 231]
[0/200] [46 steps] [state (18, 35)] [goal (105, 178)] [h_dist 230]
[0/200] [47 steps] [state (18, 36)] [goal (105, 178)] [h_dist 229]
[0/200] [48 steps] [state (18, 37)] [goal (105, 178)] [h_dist 228]
[0/200] [49 steps] [state (18, 36)] [goal (105, 178)] [h_dist 229]
[0/200] [50 steps] [state (18, 35)] [goal (105, 178)] [h_dist 230]
[0/200] [51 steps] [state (19, 35)] [goal (105, 178)] [h_dist 229]
[0/200] [52 steps] [state (18, 35)] [goal (105, 178)] [h_dist 230]
[0/200] [53 steps] [state (18, 34)] [goal (105, 178)] [h_dist 231]
[0/200] [54 steps] [state (18, 33)] [goal (105, 178)] [h_dist 232]
